sentence	language
Tecfiḍ fell-i ?	kab
Sliɣ-d akken nniḍen.	kab
Ur zmireɣ ara ad xemmeɣ akken nniḍen.	kab
Ur zmireɣ ara ad xedmeɣ akken nniḍen.	kab
Muḥal ad txemmeḍ akken nniḍen.	kab
Ur iyi-ɣelleb yiwen akken nniḍen.	kab
Yiwen ur yezmir ad iyi-ɣleb akken nniḍen.	kab
Ɛerḍeɣ ad ɣelbeɣ Tom akken nniḍen.	kab
Azzel ɣiwel, mulac ad ak-yeǧǧ lkaṛ.	kab
Azzel ɛjel, mulac ad ak-teǧǧ tmacint.	kab
Ɛjel, mulac ur tettlaḥaqeḍ ara lfaḍur.	kab
Tura mi meqqreɣ, ttxemmimeɣ ɣef ayen nniḍen.	kab
Netta d ačaqlal, meɛna d aqcic yelhan deg ayen nniḍen.	kab
Aql-aɣ nɛeṭṭel.	kab
Aql-ik tɛeṭṭleḍ.	kab
Azul umelyaṛ i iheddṛen taglizit.	kab
Tɛeqqlem albaɛḍ ?	kab
Tɛeqqleḍ albaɛḍ ?	kab
Qeṣṣer-iyi-d san yiwet n Chopin.	kab
Baba d aɣezzfan, d azuran, d aras, ma d yemma d tawezzlant,d tacebḥant, d tarqaqt.	kab
Suref-iyi, wi ik-ilan ?	kab
Tettmeslayeḍ s tefransist ?	kab
Tettmeslayem s tefransist ?	kab
Nekk isem-iw Tom. Massa Fisher d weltma.	kab
Nekk xeddmeɣ akked Massa Marie Fisher.	kab
Tameṭṭut adi d yemma.	kab
Tameṭṭut ihin d yemma.	kab
Tezram ayen la yettadṣa Tom ?	kab
Icebbayi rebbi wagi d amdakel n massa Schmitt.	kab
Waqil wagi d amdakel n massa Schmitt.	kab
Ssaram-aɣ tḥemmel aya.	kab
Awen-d heggiɣ ayen ad teččem.	kab
Ag_d heggiɣ ayen ad teččeḍ.	kab
Teẓra la tt-ssenqaden, teẓra d akken yakk medden, ula d tilawin, ttezzin deffir iwakken ad tt-walin.	kab
Ur tesɛam ara niyya deg ulawen, ɣurwen tayri d urar anda tettkellixem yal-ass.	kab
Tcukkeḍ deg uḥemmel-inu?	kab
Ma yella texdeɛ-ik, ur k-tuklal ara!	kab
Yiwen n lekdeb ad ineɣ laman-nni fayeg ɣer kra n medden tebna tayri.	kab
Zzεaf-nni yakk yekkes-iyi, tuɣal-iyi-d teḍsa.	kab
Akka tura d yiwet seg tlawin icebḥen di Lpari merra.	kab
Am ilmeẓyen akk, ḥemmleɣ tameṭṭut i y-iɣelben s setta iseggasen.	kab
Ḥemmleɣ i tikelt tamezwarut.	kab
Ad d-yewwet udfel deg uzgen n ddurt i d-iteddun.	kab
Ad d-yuɣal udfel di tazwara n ddurt i d-iteddun.	kab
Arǧu ! Aqliyin !	kab
Yelli mazalitt mecṭuḥet.	kab
Yelli mazal-itt meẓẓiyet.	kab
Yemma-s n Sami tɛawed zwaǧǧ.	kab
Anda yella Tom ? - Atan deg uxxam.	kab
Ad tedduḍ yidi ɣer lqahwa ?	kab
Marie la tess lgazuz.	kab
Dagi i tettilim ?	kab
Amek it-ga latay agi ?	kab
Nekk isem-iw Marie, i kečč ?	kab
Nekk isem-iw Marie, i kemm ?	kab
Amdakel n Tom isem-is Pierre.	kab
Anwa d amdakel n Marie ?	kab
Ayen ur sɛiɣ ḥedd ?	kab
Aqli-ken waḥd-nwen ?	kab
Aḍummu n terkabin, ibeddu s uwessawen.	kab
Sami ur yezmir ara ad ibeggen aya.	kab
